Company Name,Address,Phone,Email,Sector,Employee Count,Tier,OSB,Contact Notes
SVB Grup Otomotiv,NOSAB Erguvan Cadde No:18 Nilüfer/BURSA,0 (224) 411 04 01,satis@svbotomotiv.com.tr,Otomotiv,Unknown,Tier-2,NOSAB,Unknown
Toksan Otomotiv,Erguvan Cadde No:18 Nilüfer/BURSA,+90 (224) 411 19 50,Unknown,Otomotiv,Unknown,Tier-2,NOSAB,Unknown
KAS Otomotiv,NOSAB Meşe Caddesi No:13 16110 Nilüfer Bursa,+90 (224) 482 24 50,Unknown,Otomotiv,Unknown,Tier-2,NOSAB,Unknown
Hattat Otomotiv Pazarlama A.Ş.,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Pazarlama,Unknown,Tier-2,Unknown,Unknown
Magna Otomotiv Sanayi ve Tic. A.Ş.,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-1,Unknown,Global automotive supplier
Yazaki Otomotiv Yan Sanayi ve Ticaret A.Ş.,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-1,Unknown,Japanese automotive supplier
Bursa Çelik Servis Merkezi (Borçelik),Nilüfer Organize Sanayi Bölgesi BURSA,+90 224 280 40 00,Unknown,Çelik Servis,Unknown,Tier-1,NOSAB,Steel service center
Bosch Rexroth,Işıktepe OSB Mahallesi Siyah Cad. No:29 Nilüfer/Bursa,+90 224 275 00 00,Unknown,Otomotiv Sistemleri,Unknown,Tier-1,BOSB,Hydraulics and automation
AGOSAN Otomotiv Mobilya Tekstil İnşaat,Yenidoğan OSB Mah. Gürpınar Cad. No:2 Gürsu/Bursa,Unknown,Unknown,Otomotiv,Unknown,Tier-2,Uludağ OSB,Unknown
Kayapa OSB Yönetimi,Kayapa Mah. Sanayi Bulvarı No:16/1 Nilüfer/Bursa,+90 224 493 23 26,info@kayapaosb.org.tr,OSB Yönetimi,Unknown,Unknown,Kayapa OSB,Call for company directory
NOSAB Yönetimi,Atatürk Bulvarı No.2 16140 Nilüfer/BURSA,0 (224) 411 09 00,info@nosab.org.tr,OSB Yönetimi,Unknown,Unknown,NOSAB,Extensive automotive company list
DOSAB Yönetimi,Unknown Osmangazi/Bursa,Unknown,Unknown,OSB Yönetimi,Unknown,Unknown,DOSAB,Organized industrial zone
Uludağ OSB Yönetimi,Unknown Gürsu/Bursa,Unknown,Unknown,OSB Yönetimi,Unknown,Unknown,Uludağ OSB,500+ companies in various sectors
BEM Bosch,Unknown Bursa OSB,Unknown,Unknown,Otomotiv,Unknown,Tier-1,Unknown,Unknown
FAW Automotive,Unknown Bursa OSB,Unknown,Unknown,Otomotiv,Unknown,Tier-1,Unknown,Chinese automotive manufacturer
Birlik Çelik,Unknown Bursa OSB,Unknown,Unknown,Çelik Otomotiv,Unknown,Tier-2,Unknown,Unknown
Faurecia,Unknown Bursa OSB,Unknown,Unknown,Otomotiv İç Sistemler,Unknown,Tier-1,Unknown,French automotive supplier
Delphi,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Parçaları,Unknown,Tier-1,Unknown,Global automotive parts supplier
CT Otomotiv Yan San.ve Metal Kaplama A.Ş.,NOSAB Nilüfer/BURSA,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,NOSAB,Unknown
CONTITECH,Unknown NOSAB Nilüfer/BURSA,Unknown,Unknown,Otomotiv Parçaları,Unknown,Tier-2,NOSAB,Continental automotive division
BOY TEKNİK METAL OTOMOTİV,Unknown NOSAB Nilüfer/BURSA,Unknown,Unknown,Otomotiv Metal,Unknown,Tier-2,NOSAB,Unknown
BURÇAK METAL OTO YAN SAN,Unknown NOSAB Nilüfer/BURSA,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,NOSAB,Unknown
AKIRMAK OTO AYNA,Unknown Kayapa OSB Nilüfer/BURSA,Unknown,Unknown,Otomotiv Ayna,Unknown,Tier-2,Kayapa OSB,Unknown
TAYSAD Member Companies (Multiple),Unknown Various OSBs,Unknown,Unknown,Otomotiv Tedarikçileri,Unknown,Various,250+ members,Automotive Suppliers Industry Association
Oyak Renault,Bursa Plant Unknown,Unknown,Unknown,Otomotiv Montaj,1000+,Tier-1,Unknown,Car manufacturing plant
TOFAŞ Tofaş Otomotiv Fabrikası,Bursa Plant Unknown,Unknown,Unknown,Otomotiv Montaj,1000+,Tier-1,Unknown,Stellantis partnership
Bursel Bursa Çelik,DOSAB/Gemlik Bursa,Unknown,Unknown,Çelik Otomotiv,Unknown,Tier-1,DOSAB,Steel manufacturing
Tofaş Fiat Automobiles,Unknown Bursa,Unknown,Unknown,Otomotiv Üretimi,Unknown,Tier-1,Unknown,FIAT partnership plant
Coşkunöz Otomotiv,Bursa Multiple Locations,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-1,Various,60,000 m² closed area
Bentek Automotive,Unknown NOSAB/Bursa,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,Unknown,Search NOSAB directory
Karma Automotive,Unknown NOSAB/Bursa,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,Unknown,Unknown
Uludağ Automotive,Unknown Uludağ/Bursa,Unknown,Unknown,Otomotiv,Unknown,Tier-2,Unknown,Unknown
BEM Bosch Turkey,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Sistemleri,Unknown,Tier-1,BOSB,Bosch division
Magna Turkey,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-1,Unknown,Canadian supplier
Yutaka Automotive,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,Unknown,Japanese supplier
Yıldız Automotive,Unknown Bursa OSB,Unknown,Unknown,Otomotiv Yan Sanayi,Unknown,Tier-2,Unknown,Unknown
Hattat Holding,Unknown Bursa,Unknown,Unknown,Otomotiv,Unknown,Tier-1,Unknown,Conglomerate with automotive division
